mount	product	tree	path	url	slug	branch	elsewhere
sources-layered-ocp4.14	ansible-cloud-addons-operator	aap-cloud-billing-rhel8-operator-cd72f06507c3	website/themes/docsy	https://github.com/asmacdo/docsy.git	asmacdo/docsy		
sources-layered-ocp4.14	ansible-cloud-addons-operator	aap-cloud-ui-rhel8-operator-4ea578227267	website/themes/docsy	https://github.com/asmacdo/docsy.git	asmacdo/docsy		
sources-layered-ocp4.14	cluster-observability-operator	cluster-observability-rhel9-operator-179b87de3d04/korrel8r	client	git@github.com:korrel8r/client.git	korrel8r/client		sources-layered-ocp4.14:by-repo/client
sources-layered-ocp4.14	cluster-observability-operator	cluster-observability-rhel9-operator-179b87de3d04/korrel8r	operator	git@github.com:alanconway/operator.git	alanconway/operator		sources-layered-ocp4.14:by-repo/operator
sources-layered-ocp4.14	cluster-observability-operator	obo-prometheus-operator-admission-webhook-0dc9ab7b559f/korrel8r	client	git@github.com:korrel8r/client.git	korrel8r/client		sources-layered-ocp4.14:by-repo/client
sources-layered-ocp4.14	cluster-observability-operator	obo-prometheus-operator-admission-webhook-0dc9ab7b559f/korrel8r	operator	git@github.com:alanconway/operator.git	alanconway/operator		sources-layered-ocp4.14:by-repo/operator
sources-layered-ocp4.14	cluster-observability-operator	prometheus-0dc9ab7b559f/korrel8r	client	git@github.com:korrel8r/client.git	korrel8r/client		sources-layered-ocp4.14:by-repo/client
sources-layered-ocp4.14	cluster-observability-operator	prometheus-0dc9ab7b559f/korrel8r	operator	git@github.com:alanconway/operator.git	alanconway/operator		sources-layered-ocp4.14:by-repo/operator
sources-layered-ocp4.14	cluster-observability-operator	thanos-0dc9ab7b559f/korrel8r	client	git@github.com:korrel8r/client.git	korrel8r/client		sources-layered-ocp4.14:by-repo/client
sources-layered-ocp4.14	cluster-observability-operator	thanos-0dc9ab7b559f/korrel8r	operator	git@github.com:alanconway/operator.git	alanconway/operator		sources-layered-ocp4.14:by-repo/operator
sources-layered-ocp4.14	loki-operator	logging-loki-0831e1446cba	operator/website/themes/doks	https://github.com/h-enk/doks.git	h-enk/doks		
sources-layered-ocp4.14	loki-operator	loki-rhel9-operator-228c0378b7cb	operator/website/themes/doks	https://github.com/h-enk/doks.git	h-enk/doks		
sources-layered-ocp4.14	mta-operator	mta-cli-86aee21ca10d	hack/build/windup-rulesets	https://github.com/windup/windup-rulesets	windup/windup-rulesets		
sources-layered-ocp4.14	mta-operator	mta-go-external-provider-522dfea48b9e	hack/build/tools	https://github.com/golang/tools	golang/tools		
sources-layered-ocp4.14	mta-operator	mta-hub-23c91e53a26a	hack/build/tini	https://github.com/krallin/tini.git	krallin/tini		
sources-layered-ocp4.14	mta-operator	mta-java-external-provider-55b6374c9e47	hack/build/tools	https://github.com/golang/tools	golang/tools		
sources-layered-ocp4.14	mta-operator	mta-nodejs-external-provider-fecd932a3171	hack/build/tools	https://github.com/golang/tools	golang/tools		
sources-layered-ocp4.14	mta-operator	mta-python-external-provider-8621c3773ce4	hack/build/tools	https://github.com/golang/tools	golang/tools		
sources-layered-ocp4.14	netobserv-operator	logging-loki-4ef03f55999a	operator/website/themes/doks	https://github.com/h-enk/doks.git	h-enk/doks		
sources-layered-ocp4.14	openshift-custom-metrics-autoscaler-operator	custom-metrics-autoscaler-http-add-on-interceptor-2cfe7769c737	custom-metrics-autoscaler-operator	https://github.com/openshift/custom-metrics-autoscaler-operator	openshift/custom-metrics-autoscaler-operator		sources-ocp4.14-operators:by-repo/custom-metrics-autoscaler-operator
sources-layered-ocp4.14	openshift-custom-metrics-autoscaler-operator	custom-metrics-autoscaler-http-add-on-interceptor-2cfe7769c737	kedacore-http-add-on	https://github.com/openshift/kedacore-http-add-on	openshift/kedacore-http-add-on		
sources-layered-ocp4.14	openshift-custom-metrics-autoscaler-operator	custom-metrics-autoscaler-http-add-on-interceptor-2cfe7769c737	kedacore-keda	https://github.com/openshift/kedacore-keda	openshift/kedacore-keda		
sources-layered-ocp4.14	openshift-custom-metrics-autoscaler-operator	custom-metrics-autoscaler-http-add-on-interceptor-2cfe7769c737	tools/controller-tools	https://github.com/kubernetes-sigs/controller-tools.git	kubernetes-sigs/controller-tools		
sources-layered-ocp4.14	openshift-custom-metrics-autoscaler-operator	custom-metrics-autoscaler-http-add-on-interceptor-2cfe7769c737	tools/mock	https://github.com/uber-go/mock	uber-go/mock		
sources-layered-ocp4.14	openshift-custom-metrics-autoscaler-operator	custom-metrics-autoscaler-http-add-on-interceptor-2cfe7769c737	tools/protobuf	https://github.com/protocolbuffers/protobuf.git	protocolbuffers/protobuf		
sources-layered-ocp4.14	openshift-pipelines-operator-rh	pipelines-controller-b7c05dd57af2	dependencies/tini	https://github.com/krallin/tini.git	krallin/tini		
sources-layered-ocp4.14	openshift-pipelines-operator-rh	pipelines-events-b7c05dd57af2	dependencies/tini	https://github.com/krallin/tini.git	krallin/tini		
sources-layered-ocp4.14	openshift-pipelines-operator-rh	pipelines-webhook-b7c05dd57af2	dependencies/tini	https://github.com/krallin/tini.git	krallin/tini		
sources-layered-ocp4.14	service-telemetry-operator	service-telemetry-rhel8-operator-a5e1a783794b	website/themes/docsy	https://github.com/asmacdo/docsy.git	asmacdo/docsy		
sources-layered-ocp4.14	smart-gateway-operator	smart-gateway-rhel8-operator-8f588d5f3ea6	website/themes/docsy	https://github.com/asmacdo/docsy.git	asmacdo/docsy		
sources-layered-ocp4.15	acm	multicluster-operators-subscription-5edb404fde75	external/helm	https://github.com/helm/helm	helm/helm	v3.21.0	
sources-layered-ocp4.15	ansible-cloud-addons-operator	aap-cloud-billing-rhel8-operator-cd72f06507c3	website/themes/docsy	https://github.com/asmacdo/docsy.git	asmacdo/docsy		
sources-layered-ocp4.15	ansible-cloud-addons-operator	aap-cloud-ui-rhel8-operator-4ea578227267	website/themes/docsy	https://github.com/asmacdo/docsy.git	asmacdo/docsy		
sources-layered-ocp4.15	cluster-observability-operator	cluster-observability-rhel9-operator-179b87de3d04/korrel8r	client	git@github.com:korrel8r/client.git	korrel8r/client		sources-layered-ocp4.15:by-repo/client
sources-layered-ocp4.15	cluster-observability-operator	cluster-observability-rhel9-operator-179b87de3d04/korrel8r	operator	git@github.com:alanconway/operator.git	alanconway/operator		sources-layered-ocp4.15:by-repo/operator
sources-layered-ocp4.15	cluster-observability-operator	obo-prometheus-operator-admission-webhook-0dc9ab7b559f/korrel8r	client	git@github.com:korrel8r/client.git	korrel8r/client		sources-layered-ocp4.15:by-repo/client
sources-layered-ocp4.15	cluster-observability-operator	obo-prometheus-operator-admission-webhook-0dc9ab7b559f/korrel8r	operator	git@github.com:alanconway/operator.git	alanconway/operator		sources-layered-ocp4.15:by-repo/operator
sources-layered-ocp4.15	cluster-observability-operator	prometheus-0dc9ab7b559f/korrel8r	client	git@github.com:korrel8r/client.git	korrel8r/client		sources-layered-ocp4.15:by-repo/client
sources-layered-ocp4.15	cluster-observability-operator	prometheus-0dc9ab7b559f/korrel8r	operator	git@github.com:alanconway/operator.git	alanconway/operator		sources-layered-ocp4.15:by-repo/operator
sources-layered-ocp4.15	loki-operator	logging-loki-47b68ee3de04	operator/website/themes/doks	https://github.com/h-enk/doks.git	h-enk/doks		
